reasonType,reasonTextJa
engage_followup,味方のエンゲージに合わせて火力を出しやすい
cc_chain,味方のCCに合わせてキルを狙いやすい
frontline_cover,前衛がいるため安全にダメージを出しやすい
damage_balance,構成のダメージバランスを整えやすい
peel_dps,味方のピールを受けながら継続火力を出しやすい
teamfight_aoe,味方の集団戦開始に合わせて範囲ダメージを出しやすい
lane_pressure,味方の序盤圧力に合わせてレーン主導権を取りやすい
scaling_support,味方のスケーリングを支えやすい
roam_follow,味方のロームやガンクに合わせて有利を広げやすい
burst_window,味方が作った隙にバーストで倒し切りやすい
support_all_in_setup,味方ADCに合わせて仕掛けの起点を作りやすい
support_poke_lane,味方ADCの射程やハラスに合わせてレーンで圧力を出しやすい
support_scaling_cover,味方ADCの成長を守りながら安全に試合を進めやすい
adc_frontline_follow,味方の前衛が時間を作るため安全に火力を出しやすい
adc_aoe_wombo,味方の拘束や集団戦開始に合わせて範囲火力を通しやすい
mid_jungle_skirmish,味方JGと小規模戦を作りやすく川周辺で主導権を取りやすい
mid_frontline_aoe,味方の前衛に合わせて集団戦の範囲火力を通しやすい
jungle_gank_setup,味方レーンのCCや圧力に合わせてガンクを刺しやすい
jungle_dive_follow,味方の仕掛けに合わせて人数差やタワーダイブを作りやすい
top_frontline_balance,味方後衛を支える前線を作りやすい
top_side_pressure,味方の集団戦圧力と分担してサイドで主導権を作りやすい
damage_type_mix,味方と違うダメージ種別を足して対策されにくい構成にしやすい
